,0,1,2
34,triamcinolone,crohn disease,nuclear receptor subfamily 3 group c member 1
35,gabapentin,restless legs syndrome,calcium voltage-gated channel auxiliary subunit alpha2delta 1
36,prednisolone,sarcoidosis,nuclear receptor subfamily 3 group c member 1
37,pimozide,tourette syndrome,dopamine receptor d2
38,levonorgestrel,menorrhagia,progesterone receptor
39,dimethyl fumarate,multiple sclerosis,kelch like ech associated protein 1
40,protriptyline,major depressive disorder,solute carrier family 6 member 2
41,terguride,pulmonary hypertension,5-hydroxytryptamine receptor 2b
42,lafutidine,gastroesophageal reflux disease,histamine receptor h2
43,ospemifene,psychologic dyspareunia,estrogen receptor 1
44,glipizide,hyperglycemia,atp binding cassette subfamily c member 8
45,landiolol,tachycardia,adrenoceptor beta 1
46,levocabastine,atopic conjunctivitis,histamine receptor h1
47,acenocoumarol,pulmonary embolism,vitamin k epoxide reductase complex subunit 1
48,dexamethasone,plasma cell myeloma,nuclear receptor subfamily 3 group c member 1
49,mosapramine,schizophrenia,dopamine receptor d2
50,thyrotropin alfa,thyroid tumor,thyroid stimulating hormone receptor
51,metolazone,hypertensive disorder,solute carrier family 12 member 3
52,gepirone,major depressive disorder,5-hydroxytryptamine receptor 1a
53,tramadol,pain,opioid receptor mu 1
54,trimethadione,absence epilepsy,calcium voltage-gated channel subunit alpha1 g
55,apalutamide,prostate cancer,androgen receptor
56,aminoglutethimide,breast neoplasm,cytochrome p450 family 19 subfamily a member 1
57,anastrozole,breast neoplasm,cytochrome p450 family 19 subfamily a member 1
58,etizolam,anxiety disorder,gamma-aminobutyric acid type a receptor subunit alpha1
59,sulfasalazine,ulcerative colitis,arachidonate 5-lipoxygenase
60,vinpocetine,dementia,phosphodiesterase 1a
61,glutethimide,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
62,afamelanotide,erythropoietic protoporphyria,melanocortin 1 receptor
63,voclosporin,uveitis,"protein phosphatase 3 regulatory subunit b, alpha"
64,cobicistat,hiv infectious disease,cytochrome p450 family 3 subfamily a member 43
65,medrysone,uveitis,nuclear receptor subfamily 3 group c member 1
66,medrysone,atopic conjunctivitis,nuclear receptor subfamily 3 group c member 1
67,medrysone,iritis,nuclear receptor subfamily 3 group c member 1
68,medrysone,iridocyclitis,nuclear receptor subfamily 3 group c member 1
69,diflunisal,osteoarthritis,prostaglandin-endoperoxide synthase 1
70,diflunisal,osteoarthritis,prostaglandin-endoperoxide synthase 2
71,diflunisal,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
72,diflunisal,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
73,diflunisal,pain,prostaglandin-endoperoxide synthase 1
74,diflunisal,pain,prostaglandin-endoperoxide synthase 2
75,diflunisal,chronic pain,prostaglandin-endoperoxide synthase 1
76,diflunisal,chronic pain,prostaglandin-endoperoxide synthase 2
77,polythiazide,hypertensive disorder,solute carrier family 12 member 3
78,mepyramine,atopic conjunctivitis,histamine receptor h1
79,mepyramine,seasonal allergic rhinitis,histamine receptor h1
80,mepyramine,sneeze,histamine receptor h1
81,mepyramine,allergic rhinitis,histamine receptor h1
82,mepyramine,dysmenorrhea,histamine receptor h1
83,mepyramine,vasomotor rhinitis,histamine receptor h1
84,mepyramine,urticaria,histamine receptor h1
85,mepyramine,pruritus,histamine receptor h1
86,azilsartan medoxomil,hypertensive disorder,angiotensin ii receptor type 1
87,hydroxocobalamin,vitamin b12 deficiency,5-methyltetrahydrofolate-homocysteine methyltransferase
88,hydroxocobalamin,vitamin b12 deficiency,methylmalonyl-coa mutase
89,hydroxocobalamin,vitamin deficiency disorder,5-methyltetrahydrofolate-homocysteine methyltransferase
90,hydroxocobalamin,vitamin deficiency disorder,methylmalonyl-coa mutase
91,hydroxocobalamin,pernicious anemia,5-methyltetrahydrofolate-homocysteine methyltransferase
92,formoterol,pulmonary emphysema,adrenoceptor beta 2
93,bromocriptine,acromegaly,dopamine receptor d2
94,bromocriptine,acromegaly,dopamine receptor d3
95,bromocriptine,postencephalitic parkinson disease,dopamine receptor d2
96,bromocriptine,postencephalitic parkinson disease,dopamine receptor d3
97,bromocriptine,parkinson disease,dopamine receptor d2
98,bromocriptine,parkinson disease,dopamine receptor d3
99,bromocriptine,hyperprolactinemia,dopamine receptor d2
100,bromocriptine,hyperprolactinemia,dopamine receptor d3
101,pramipexole,parkinson disease,dopamine receptor d2
102,pramipexole,parkinson disease,dopamine receptor d3
103,pramipexole,parkinson disease,dopamine receptor d4
104,pramipexole,restless legs syndrome,dopamine receptor d2
105,pramipexole,restless legs syndrome,dopamine receptor d3
106,pramipexole,restless legs syndrome,dopamine receptor d4
107,spironolactone,hyperaldosteronism,nuclear receptor subfamily 3 group c member 2
108,spironolactone,edema,nuclear receptor subfamily 3 group c member 2
109,spironolactone,ascites,nuclear receptor subfamily 3 group c member 2
110,spironolactone,hypertensive disorder,nuclear receptor subfamily 3 group c member 2
111,amobarbital,status epilepticus,gamma-aminobutyric acid type a receptor subunit alpha1
112,amobarbital,status epilepticus,gamma-aminobutyric acid type a receptor subunit alpha2
113,amobarbital,status epilepticus,gamma-aminobutyric acid type a receptor subunit alpha3
114,amobarbital,status epilepticus,gamma-aminobutyric acid type a receptor subunit alpha4
115,amobarbital,status epilepticus,gamma-aminobutyric acid type a receptor subunit alpha5
116,amobarbital,epilepsy,gamma-aminobutyric acid type a receptor subunit alpha1
117,amobarbital,epilepsy,gamma-aminobutyric acid type a receptor subunit alpha2
118,amobarbital,epilepsy,gamma-aminobutyric acid type a receptor subunit alpha3
119,amobarbital,epilepsy,gamma-aminobutyric acid type a receptor subunit alpha4
120,amobarbital,epilepsy,gamma-aminobutyric acid type a receptor subunit alpha5
121,saxagliptin,type 2 diabetes mellitus,dipeptidyl peptidase 4
122,eletriptan,migraine disorder,5-hydroxytryptamine receptor 1d
123,eletriptan,migraine disorder,5-hydroxytryptamine receptor 1b
124,eletriptan,migraine disorder,5-hydroxytryptamine receptor 2a
125,eletriptan,migraine disorder,5-hydroxytryptamine receptor 1a
126,terbutaline,pulmonary emphysema,adrenoceptor beta 2
127,terbutaline,pulmonary emphysema,adrenoceptor beta 3
128,terbutaline,pruritus,adrenoceptor beta 2
129,terbutaline,pruritus,adrenoceptor beta 3
130,terbutaline,asthma,adrenoceptor beta 2
131,terbutaline,asthma,adrenoceptor beta 3
132,terbutaline,bronchitis,adrenoceptor beta 2
133,terbutaline,bronchitis,adrenoceptor beta 3
134,belotecan,non-small cell lung carcinoma,dna topoisomerase i
135,belotecan,ovarian cancer,dna topoisomerase i
136,amphetamine,obesity disorder,solute carrier family 18 member a2
137,amphetamine,obesity disorder,trace amine associated receptor 1
138,amphetamine,obesity disorder,cart prepropeptide
139,amphetamine,narcolepsy,solute carrier family 18 member a2
140,amphetamine,narcolepsy,trace amine associated receptor 1
141,amphetamine,"attention deficit hyperactivity disorder, inattentive type",solute carrier family 18 member a2
142,amphetamine,"attention deficit hyperactivity disorder, inattentive type",trace amine associated receptor 1
143,cinnarizine,nausea,histamine receptor h1
144,cinnarizine,central nervous system origin vertigo,histamine receptor h1
145,cinnarizine,motion sickness,histamine receptor h1
146,carmofur,colonic neoplasm,n-acylsphingosine amidohydrolase 1
147,topiroxostat,hyperuricemia,xanthine dehydrogenase
148,topiroxostat,gout,xanthine dehydrogenase
149,leuprolide,endometriosis,gonadotropin releasing hormone receptor
150,leuprolide,precocious puberty,gonadotropin releasing hormone receptor
151,glimepiride,type 2 diabetes mellitus,potassium inwardly rectifying channel subfamily j member 11
152,glimepiride,type 2 diabetes mellitus,potassium inwardly rectifying channel subfamily j member 1
153,loxapine,schizophrenia,dopamine receptor d2
154,loxapine,schizophrenia,5-hydroxytryptamine receptor 2a
155,loxapine,bipolar disorder,dopamine receptor d2
156,loxapine,bipolar disorder,5-hydroxytryptamine receptor 2a
157,oxaprozin,osteoarthritis,prostaglandin-endoperoxide synthase 1
158,oxaprozin,osteoarthritis,prostaglandin-endoperoxide synthase 2
159,oxaprozin,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 1
160,oxaprozin,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 2
161,oxaprozin,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
162,oxaprozin,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
163,pimozide,tourette syndrome,dopamine receptor d3
164,dehydroepiandrosterone,psychologic dyspareunia,estrogen receptor 1
165,dehydroepiandrosterone,psychologic dyspareunia,estrogen receptor 2
166,dehydroepiandrosterone,psychologic dyspareunia,androgen receptor
167,dehydroepiandrosterone,systemic lupus erythematosus,androgen receptor
168,omacetaxine mepesuccinate,"chronic myelogenous leukemia, bcr-abl1 positive",ribosomal protein l3
169,anagliptin,type 2 diabetes mellitus,dipeptidyl peptidase 4
170,clemastine,urticaria,histamine receptor h1
171,clemastine,pruritus,histamine receptor h1
172,clemastine,sneeze,histamine receptor h1
173,clemastine,vasomotor rhinitis,histamine receptor h1
174,clemastine,allergic rhinitis,histamine receptor h1
175,clemastine,atopic conjunctivitis,histamine receptor h1
176,sapropterin,phenylketonuria,phenylalanine hydroxylase
177,insulin detemir,diabetes mellitus,insulin receptor
178,benzbromarone,hyperuricemia,solute carrier family 22 member 12
179,benzbromarone,gout,solute carrier family 22 member 12
180,phendimetrazine,obesity disorder,adrenoceptor alpha 1a
181,phendimetrazine,obesity disorder,adrenoceptor alpha 1b
182,phendimetrazine,obesity disorder,solute carrier family 6 member 2
183,valproic acid,absence epilepsy,aldehyde dehydrogenase 5 family member a1
184,valproic acid,absence epilepsy,histone deacetylase 9
185,valproic acid,bipolar disorder,myristoylated alanine rich protein kinase c substrate
186,valproic acid,epilepsy,histone deacetylase 9
187,valproic acid,migraine disorder,solute carrier family 27 member 2
188,levomethadyl acetate,opiate dependence,opioid receptor mu 1
189,bunolol,open-angle glaucoma,adrenoceptor beta 1
190,bunolol,open-angle glaucoma,adrenoceptor beta 2
191,bunolol,ocular hypertension,adrenoceptor beta 1
192,bunolol,ocular hypertension,adrenoceptor beta 2
193,clopidogrel,acute coronary syndrome,purinergic receptor p2y12
194,clopidogrel,intracranial embolism,purinergic receptor p2y12
195,carbetocin,post-partum hemorrhage,oxytocin receptor
196,brompheniramine,seasonal allergic rhinitis,histamine receptor h1
197,brompheniramine,urticaria,histamine receptor h1
198,brompheniramine,pruritus,histamine receptor h1
199,brompheniramine,atopic conjunctivitis,histamine receptor h1
200,brompheniramine,vasomotor rhinitis,histamine receptor h1
201,brompheniramine,allergic rhinitis,histamine receptor h1
202,belotecan,ovarian cancer,thymidylate synthetase
203,belotecan,ovarian cancer,cytidine/uridine monophosphate kinase 1
204,belotecan,ovarian cancer,ribonucleotide reductase catalytic subunit m1
205,belotecan,non-small cell lung carcinoma,thymidylate synthetase
206,belotecan,non-small cell lung carcinoma,cytidine/uridine monophosphate kinase 1
207,belotecan,non-small cell lung carcinoma,ribonucleotide reductase catalytic subunit m1
208,fentanyl,pain,opioid receptor mu 1
209,fentanyl,pain,opioid receptor delta 1
210,bitolterol,bronchitis,adrenoceptor beta 2
211,bitolterol,bronchiectasis,adrenoceptor beta 2
212,bitolterol,asthma,adrenoceptor beta 2
213,bitolterol,pulmonary emphysema,adrenoceptor beta 2
214,diazoxide,pancreatic insulinoma,potassium inwardly rectifying channel subfamily j member 11
215,diazoxide,hyperinsulinism,potassium inwardly rectifying channel subfamily j member 11
216,diazoxide,islet cell adenomatosis,potassium inwardly rectifying channel subfamily j member 11
217,floctafenine,acute pain,prostaglandin-endoperoxide synthase 1
218,floctafenine,acute pain,prostaglandin-endoperoxide synthase 2
219,umeclidinium,chronic obstructive pulmonary disease,cholinergic receptor muscarinic 2
220,umeclidinium,chronic obstructive pulmonary disease,cholinergic receptor muscarinic 3
221,acrivastine,vasomotor rhinitis,histamine receptor h1
222,acrivastine,atopic conjunctivitis,histamine receptor h1
223,acrivastine,seasonal allergic rhinitis,histamine receptor h1
224,acrivastine,sneeze,histamine receptor h1
225,acrivastine,common cold,histamine receptor h1
226,acrivastine,allergic rhinitis,histamine receptor h1
227,oxytocin,post-partum hemorrhage,oxytocin receptor
228,ribavirin,chronic hepatitis c virus infection,inosine monophosphate dehydrogenase 1
229,ribavirin,respiratory syncytial virus infectious disease,inosine monophosphate dehydrogenase 1
230,butenafine,tinea pedis,squalene epoxidase
231,butenafine,pityriasis versicolor,squalene epoxidase
232,regorafenib,gastrointestinal stromal tumor,"kit proto-oncogene, receptor tyrosine kinase"
233,regorafenib,gastrointestinal stromal tumor,platelet derived growth factor receptor alpha
234,regorafenib,hepatocellular carcinoma,"raf-1 proto-oncogene, serine/threonine kinase"
235,regorafenib,hepatocellular carcinoma,"b-raf proto-oncogene, serine/threonine kinase"
236,regorafenib,hepatocellular carcinoma,platelet derived growth factor receptor alpha
237,regorafenib,hepatocellular carcinoma,fibroblast growth factor receptor 1
238,regorafenib,hepatocellular carcinoma,fms related receptor tyrosine kinase 1
239,regorafenib,hepatocellular carcinoma,kinase insert domain receptor
240,selexipag,pulmonary arterial hypertension,prostaglandin i2 receptor
241,mizolastine,allergic rhinitis,histamine receptor h1
242,carbenoxolone,peptic ulcer disease,hydroxysteroid 11-beta dehydrogenase 1
243,carbenoxolone,peptic ulcer disease,15-hydroxyprostaglandin dehydrogenase
244,mizolastine,perennial allergic rhinitis,histamine receptor h1
245,abiraterone acetate,prostate cancer,cytochrome p450 family 17 subfamily a member 1
246,abiraterone acetate,prostate cancer,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
247,abiraterone acetate,prostate cancer,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"
248,abiraterone acetate,prostate cancer,cytochrome p450 family 11 subfamily b member 1
249,abiraterone acetate,prostate cancer,cytochrome p450 family 21 subfamily a member 2
250,abiraterone acetate,prostate cancer,cytochrome p450 family 1 subfamily a member 2
251,abiraterone acetate,prostate cancer,cytochrome p450 family 2 subfamily c member 9
252,abiraterone acetate,prostate cancer,cytochrome p450 family 3 subfamily a member 4
253,abiraterone acetate,prostate cancer,androgen receptor
254,venlafaxine,panic disorder,solute carrier family 6 member 4
255,venlafaxine,panic disorder,solute carrier family 6 member 2
256,venlafaxine,social phobia,solute carrier family 6 member 4
257,venlafaxine,social phobia,solute carrier family 6 member 2
258,venlafaxine,social phobia,solute carrier family 6 member 3
259,venlafaxine,major depressive disorder,solute carrier family 6 member 4
260,venlafaxine,major depressive disorder,solute carrier family 6 member 2
261,venlafaxine,major depressive disorder,solute carrier family 6 member 3
262,amoxapine,depressive disorder,solute carrier family 6 member 4
263,venlafaxine,depressive disorder,solute carrier family 6 member 2
264,amoxapine,depressive disorder,dopamine receptor d1
265,tulobuterol,asthma,adrenoceptor beta 2
266,tulobuterol,pulmonary emphysema,adrenoceptor beta 2
267,rupatadine,allergic rhinitis,histamine receptor h1
268,rupatadine,allergic rhinitis,platelet activating factor receptor
269,rupatadine,urticaria,histamine receptor h1
270,rupatadine,urticaria,platelet activating factor receptor
271,clobetasone,atopic eczema,nuclear receptor subfamily 3 group c member 1
272,clobetasone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
273,defibrotide,hepatic veno-occlusive disease,"plasminogen activator, tissue type"
274,defibrotide,hepatic veno-occlusive disease,serpin family e member 1
275,celiprolol,hypertensive disorder,adrenoceptor beta 1
276,celiprolol,hypertensive disorder,adrenoceptor beta 2
277,celiprolol,angina pectoris,adrenoceptor beta 1
278,celiprolol,angina pectoris,adrenoceptor beta 2
279,vigabatrin,west syndrome,4-aminobutyrate aminotransferase
280,linagliptin,type 2 diabetes mellitus,dipeptidyl peptidase 4
281,oxyphencyclimine,peptic ulcer disease,cholinergic receptor muscarinic 3
282,propylthiouracil,hyperthyroidism,thyroid peroxidase
283,propylthiouracil,thyroid crisis,thyroid peroxidase
284,butorphanol,pain,opioid receptor kappa 1
285,butorphanol,pain,opioid receptor delta 1
286,butorphanol,pain,opioid receptor mu 1
287,butorphanol,labor pain,opioid receptor kappa 1
288,butorphanol,labor pain,opioid receptor delta 1
289,butorphanol,labor pain,opioid receptor mu 1
290,dextropropoxyphene,pain,opioid receptor mu 1
291,dextropropoxyphene,pain,opioid receptor delta 1
292,cilazapril,hypertensive disorder,angiotensin i converting enzyme
293,icatibant,hereditary angioedema,bradykinin receptor b2
294,limaprost,thromboangiitis obliterans,prostaglandin e receptor 2
295,butalbital,tension-type headache,gamma-aminobutyric acid type a receptor subunit alpha1
296,butalbital,tension-type headache,gamma-aminobutyric acid type a receptor subunit alpha2
297,butalbital,tension-type headache,gamma-aminobutyric acid type a receptor subunit alpha3
298,butalbital,tension-type headache,gamma-aminobutyric acid type a receptor subunit alpha4
299,butalbital,tension-type headache,gamma-aminobutyric acid type a receptor subunit alpha5
300,riluzole,amyotrophic lateral sclerosis,sodium voltage-gated channel alpha subunit 5
301,hydrochlorothiazide,edema,solute carrier family 12 member 3
302,hydrochlorothiazide,hypertensive disorder,solute carrier family 12 member 3
303,irbesartan,hypertensive disorder,angiotensin ii receptor type 1
304,irbesartan,diabetic kidney disease,angiotensin ii receptor type 1
305,estrone sulphate,postmenopausal atrophic vaginitis,estrogen receptor 1
306,entacapone,parkinson disease,catechol-o-methyltransferase
307,"1,25-dihydroxyvitamin d3",hypophosphatemia,vitamin d receptor
308,"1,25-dihydroxyvitamin d3",hypocalcemia,vitamin d receptor
309,"1,25-dihydroxyvitamin d3",hypoparathyroidism,vitamin d receptor
310,"1,25-dihydroxyvitamin d3",renal osteodystrophy,vitamin d receptor
311,carbachol,open-angle glaucoma,cholinergic receptor nicotinic alpha 2 subunit
312,tazarotene,acne,retinoic acid receptor alpha
313,tazarotene,acne,retinoid x receptor beta
314,tazarotene,acne,retinoic acid receptor gamma
315,tazarotene,acne,retinoic acid receptor beta
316,tazarotene,psoriasis,retinoic acid receptor alpha
317,tazarotene,psoriasis,retinoid x receptor beta
318,tazarotene,psoriasis,retinoic acid receptor gamma
319,tazarotene,psoriasis,retinoic acid receptor beta
320,avanafil,erectile dysfunction,phosphodiesterase 5a
321,dyphylline,asthma-chronic obstructive pulmonary disease overlap syndrome,phosphodiesterase 4a
322,dyphylline,asthma-chronic obstructive pulmonary disease overlap syndrome,phosphodiesterase 4b
323,dyphylline,asthma-chronic obstructive pulmonary disease overlap syndrome,phosphodiesterase 4c
324,dyphylline,asthma-chronic obstructive pulmonary disease overlap syndrome,phosphodiesterase 4d
325,dyphylline,chronic bronchitis,phosphodiesterase 4a
326,dyphylline,chronic bronchitis,phosphodiesterase 4b
327,dyphylline,chronic bronchitis,phosphodiesterase 4c
328,dyphylline,chronic bronchitis,phosphodiesterase 4d
329,dyphylline,bronchial disorder,phosphodiesterase 4a
330,dyphylline,bronchial disorder,phosphodiesterase 4b
331,dyphylline,bronchial disorder,phosphodiesterase 4c
332,dyphylline,bronchial disorder,phosphodiesterase 4d
333,dyphylline,pulmonary emphysema,phosphodiesterase 4a
334,dyphylline,pulmonary emphysema,phosphodiesterase 4b
335,dyphylline,pulmonary emphysema,phosphodiesterase 4c
336,dyphylline,pulmonary emphysema,phosphodiesterase 4d
337,dyphylline,asthma,phosphodiesterase 4a
338,dyphylline,asthma,phosphodiesterase 4b
339,dyphylline,asthma,phosphodiesterase 4c
340,dyphylline,asthma,phosphodiesterase 4d
341,lenvatinib,thyroid gland papillary carcinoma,platelet derived growth factor receptor alpha
342,lenvatinib,thyroid gland papillary carcinoma,"kit proto-oncogene, receptor tyrosine kinase"
343,lenvatinib,thyroid gland papillary carcinoma,ret proto-oncogene
344,lenvatinib,thyroid gland follicular carcinoma,platelet derived growth factor receptor alpha
345,lenvatinib,thyroid gland follicular carcinoma,"kit proto-oncogene, receptor tyrosine kinase"
346,lenvatinib,thyroid gland follicular carcinoma,ret proto-oncogene
347,lenvatinib,renal cell carcinoma,platelet derived growth factor receptor alpha
348,lenvatinib,renal cell carcinoma,"kit proto-oncogene, receptor tyrosine kinase"
349,lenvatinib,renal cell carcinoma,ret proto-oncogene
350,liraglutide,type 2 diabetes mellitus,glucagon like peptide 1 receptor
351,crizotinib,non-small cell lung carcinoma,alk receptor tyrosine kinase
352,crizotinib,non-small cell lung carcinoma,"ros proto-oncogene 1, receptor tyrosine kinase"
353,triflupromazine,psychotic disorder,dopamine receptor d1
354,triflupromazine,psychotic disorder,dopamine receptor d2
355,triflupromazine,psychotic disorder,cholinergic receptor muscarinic 1
356,triflupromazine,psychotic disorder,cholinergic receptor muscarinic 2
357,triflupromazine,psychotic disorder,5-hydroxytryptamine receptor 2b
358,triflupromazine,vomiting,dopamine receptor d2
359,triflupromazine,nausea,dopamine receptor d2
360,buprenorphine,chronic pain,opioid receptor mu 1
361,buprenorphine,chronic pain,opioid receptor kappa 1
362,buprenorphine,opiate dependence,opioid receptor mu 1
363,buprenorphine,opiate dependence,opioid receptor kappa 1
364,nebivolol,hypertensive disorder,adrenoceptor beta 1
365,papaverine,peripheral vascular disease,phosphodiesterase 4b
366,pioglitazone,type 2 diabetes mellitus,peroxisome proliferator activated receptor gamma
367,sotalol,atrial fibrillation,adrenoceptor beta 1
368,sotalol,atrial fibrillation,adrenoceptor beta 2
369,sotalol,atrial fibrillation,potassium voltage-gated channel subfamily h member 2
370,sufentanil,post-operative pain,opioid receptor mu 1
371,tirofiban,acute coronary syndrome,integrin subunit alpha 2b
372,tirofiban,acute coronary syndrome,integrin subunit beta 3
373,valrubicin,urinary bladder neoplasm,dna topoisomerase ii alpha
374,cabergoline,hyperprolactinemia,dopamine receptor d2
375,atomoxetine,"attention deficit hyperactivity disorder, inattentive type",solute carrier family 6 member 2
376,estradiol valerate,premenstrual dysphoric disorder,estrogen receptor 1
377,estradiol valerate,premenstrual dysphoric disorder,estrogen receptor 2
378,estradiol valerate,hot flashes,estrogen receptor 1
379,estradiol valerate,hot flashes,estrogen receptor 2
380,estradiol valerate,postmenopausal osteoporosis,estrogen receptor 1
381,estradiol valerate,postmenopausal osteoporosis,estrogen receptor 2
382,estradiol valerate,postmenopausal atrophic vaginitis,estrogen receptor 1
383,estradiol valerate,postmenopausal atrophic vaginitis,estrogen receptor 2
384,estradiol valerate,acne,estrogen receptor 1
385,estradiol valerate,acne,estrogen receptor 2
386,metformin,type 2 diabetes mellitus,electron transfer flavoprotein dehydrogenase
387,methamphetamine,"attention deficit hyperactivity disorder, inattentive type",solute carrier family 6 member 2
388,methamphetamine,"attention deficit hyperactivity disorder, inattentive type",solute carrier family 6 member 3
389,methamphetamine,"attention deficit hyperactivity disorder, inattentive type",monoamine oxidase b
390,methamphetamine,"attention deficit hyperactivity disorder, inattentive type",monoamine oxidase a
391,mebendazole,trichuriasis,tubulin alpha 1a
392,mebendazole,trichuriasis,tubulin beta 4b class ivb
393,mebendazole,ascariasis,tubulin alpha 1a
394,mebendazole,ascariasis,tubulin beta 4b class ivb
395,mebendazole,enterobiasis,tubulin alpha 1a
396,mebendazole,enterobiasis,tubulin beta 4b class ivb
397,prednicarbate,neurodermatitis,nuclear receptor subfamily 3 group c member 1
398,prednicarbate,pruritus ani,nuclear receptor subfamily 3 group c member 1
399,prednicarbate,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
400,prednicarbate,contact dermatitis,nuclear receptor subfamily 3 group c member 1
401,prednicarbate,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
402,prednicarbate,granuloma annulare,nuclear receptor subfamily 3 group c member 1
403,prednicarbate,exanthem,nuclear receptor subfamily 3 group c member 1
404,prednicarbate,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
405,prednicarbate,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
406,metoclopramide,gastroesophageal reflux disease,dopamine receptor d2
407,metoclopramide,gastroesophageal reflux disease,cholinergic receptor muscarinic 1
408,metoclopramide,gastroesophageal reflux disease,5-hydroxytryptamine receptor 4
409,fesoterodine,urge incontinence,cholinergic receptor muscarinic 3
410,chlorthalidone,hypertensive disorder,solute carrier family 12 member 1
411,chlorthalidone,edema,solute carrier family 12 member 1
412,nicardipine,angina pectoris,calcium voltage-gated channel subunit alpha1 c
413,nicardipine,angina pectoris,calcium voltage-gated channel auxiliary subunit beta 2
414,nicardipine,angina pectoris,calcium voltage-gated channel auxiliary subunit alpha2delta 1
415,nicardipine,angina pectoris,calcium voltage-gated channel subunit alpha1 d
416,nicardipine,hypertensive disorder,calcium voltage-gated channel subunit alpha1 c
417,nicardipine,hypertensive disorder,calcium voltage-gated channel auxiliary subunit beta 2
418,nicardipine,hypertensive disorder,calcium voltage-gated channel auxiliary subunit alpha2delta 1
419,nicardipine,hypertensive disorder,calcium voltage-gated channel subunit alpha1 d
420,benzphetamine,obesity disorder,adrenoceptor alpha 1a
421,anakinra,rheumatoid arthritis,interleukin 1 receptor type 1
422,anakinra,cryopyrin-associated periodic syndrome,interleukin 1 receptor type 1
423,darifenacin,urge incontinence,cholinergic receptor muscarinic 3
424,desoximetasone,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
425,desoximetasone,granuloma annulare,nuclear receptor subfamily 3 group c member 1
426,desoximetasone,pruritus ani,nuclear receptor subfamily 3 group c member 1
427,desoximetasone,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
428,desoximetasone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
429,desoximetasone,neurodermatitis,nuclear receptor subfamily 3 group c member 1
430,desoximetasone,contact dermatitis,nuclear receptor subfamily 3 group c member 1
431,desoximetasone,exanthem,nuclear receptor subfamily 3 group c member 1
